alpha,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
0.0001,3,GrowthYield,CAM,0.5,1,0.998371513,0.1845888,0.011768074,0.292686929
0.0001,3,DoublingTime,CAM,1,2,0.996234804,0.125739597,0.012078053,0.169657213
0.0001,3,GrowthYield,CAM,1,2,0.999240998,0.291336304,0.012013725,0.382132947
0.0001,3,DoublingTime,CAM,2,3,0.998305939,0.122734156,0.012229545,0.280621738
0.0001,3,GrowthYield,CAM,2,3,0.999742001,0.407393806,0.011978648,0.681325137
0.0001,3,DoublingTime,CIP,0.002,1,0.994234016,0.21736525,0.012251317,0.151824683
0.0001,3,GrowthYield,CIP,0.002,1,0.99833808,0.067544268,0.012371189,0.316101632
0.0001,3,DoublingTime,CIP,0.004,2,0.997913411,0.207360274,0.011749309,0.202409368
0.0001,3,GrowthYield,CIP,0.004,2,0.999608884,0.294037794,0.012180944,0.61553333
0.0001,3,DoublingTime,CIP,0.008,3,0.995520612,0.236208612,0.011826094,0.155250547
0.0001,3,GrowthYield,CIP,0.008,3,0.999888821,0.414401995,0.012100347,0.991216091
0.0001,3,DoublingTime,CTX,0.5,1,0.9969698,0.306007096,0.011745584,0.176043212
0.0001,3,GrowthYield,CTX,0.5,1,0.999924024,0.632482774,0.012939025,1.352088771
0.0001,3,DoublingTime,CTX,1,2,0.99511987,0.302963796,0.012422773,0.161694919
0.0001,3,GrowthYield,CTX,1,2,0.999934545,0.631818624,0.012232874,1.437916536
0.0001,3,DoublingTime,CTX,2,3,0.997777848,0.443263313,0.01176616,0.193009761
0.0001,3,GrowthYield,CTX,2,3,0.999940095,0.617983429,0.012471565,1.631899575
0.0001,3,DoublingTime,KAN,4,1,0.994254442,0.20456522,0.011275,0.136440108
0.0001,3,GrowthYield,KAN,4,1,0.99955403,0.303705827,0.011872216,0.58161784
0.0001,3,DoublingTime,KAN,8,2,0.99670289,0.224025679,0.011670772,0.206641396
0.0001,3,GrowthYield,KAN,8,2,0.999888363,0.432123117,0.012117504,0.929504611
0.0001,3,DoublingTime,KAN,16,3,0.999055156,0.36332194,0.011708411,0.312483694
0.0001,3,GrowthYield,KAN,16,3,0.999951312,0.405804281,0.012342686,1.539763003
0.0001,3,DoublingTime,TET,0.3,1,0.997357177,0.19988372,0.011856633,0.217600844
0.0001,3,GrowthYield,TET,0.3,1,0.999306473,0.428703934,0.01249523,0.426710516
0.0001,3,DoublingTime,TET,0.6,2,0.998816389,0.343578622,0.012051218,0.26291755
0.0001,3,GrowthYield,TET,0.6,2,0.999886474,0.471589741,0.012567469,0.973677485
0.0001,3,DoublingTime,TET,1.25,3,0.999457469,0.573623295,0.012366688,0.37273901
0.0001,3,GrowthYield,TET,1.25,3,0.999929852,0.561066101,0.012795306,1.393791787
0.0001,3,DoublingTime,TRIM,0.125,1,0.997031595,0.361215373,0.012761082,0.190645375
0.0001,3,GrowthYield,TRIM,0.125,1,0.999803159,0.490594274,0.012248581,0.763373363
0.0001,3,DoublingTime,TRIM,0.25,2,0.997669493,0.38691008,0.011967192,0.187595023
0.0001,3,GrowthYield,TRIM,0.25,2,0.999889557,0.51575301,0.012132535,1.023860765
0.0001,3,DoublingTime,TRIM,0.5,3,0.997463503,0.267934753,0.012330078,0.215020513
0.0001,3,GrowthYield,TRIM,0.5,3,0.999935301,0.635732133,0.012384355,1.263603167
0.0001,4,DoublingTime,NoAntimicrbial,NA,2,0.999071773,0.184089923,0.012009182,0.350057706
0.0001,4,GrowthYield,NoAntimicrbial,NA,2,0.99968292,0.291208405,0.013376755,0.785399881
0.0001,4,DoublingTime,CAM,0.5,1,0.99558928,0.137384314,0.012579784,0.185810353
0.0001,4,GrowthYield,CAM,0.5,1,0.998000914,0.193751252,0.012497984,0.304013933
0.0001,4,DoublingTime,CAM,1,2,0.995816023,0.151045556,0.012532964,0.181687539
0.0001,4,GrowthYield,CAM,1,2,0.999216561,0.281225477,0.012441047,0.388920718
0.0001,4,DoublingTime,CAM,2,3,0.997922412,0.226303323,0.013019274,0.26950207
0.0001,4,GrowthYield,CAM,2,3,0.999728049,0.316543508,0.012828415,0.667205588
0.0001,4,DoublingTime,CIP,0.002,1,0.994792987,0.180354887,0.012454113,0.158709293
0.0001,4,GrowthYield,CIP,0.002,1,0.997856386,0.34948674,0.012953461,0.268022341
0.0001,4,DoublingTime,CIP,0.004,2,0.997588646,0.188512035,0.012665933,0.204367507
0.0001,4,GrowthYield,CIP,0.004,2,0.999550088,0.388171654,0.012684281,0.639285369
0.0001,4,DoublingTime,CIP,0.008,3,0.994903684,0.192894549,0.012098391,0.158858696
0.0001,4,GrowthYield,CIP,0.008,3,0.999848466,0.458794873,0.012525614,1.056740354
0.0001,4,DoublingTime,CTX,0.5,1,0.996579243,0.296450298,0.012478894,0.17471497
0.0001,4,GrowthYield,CTX,0.5,1,0.999913135,0.618886119,0.012554496,1.444480938
0.0001,4,DoublingTime,CTX,1,2,0.995320722,0.273076356,0.012463765,0.157707925
0.0001,4,GrowthYield,CTX,1,2,0.99992072,0.608328488,0.012580454,1.605606143
0.0001,4,DoublingTime,CTX,2,3,0.997864829,0.400740746,0.012051674,0.189168603
0.0001,4,GrowthYield,CTX,2,3,0.999914273,0.623653374,0.012843192,1.66273058
0.0001,4,DoublingTime,KAN,4,1,0.993152498,0.177562707,0.011931342,0.140538544
0.0001,4,GrowthYield,KAN,4,1,0.999463303,0.406715734,0.012890226,0.498482658
0.0001,4,DoublingTime,KAN,8,2,0.995907478,0.349736099,0.012543576,0.201175991
0.0001,4,GrowthYield,KAN,8,2,0.999876789,0.444101412,0.01283936,0.957557935
0.0001,4,DoublingTime,KAN,16,3,0.998897684,0.481132315,0.012271228,0.314606302
0.0001,4,GrowthYield,KAN,16,3,0.999946747,0.437023037,0.013192913,1.488523116
0.0001,4,DoublingTime,TET,0.3,1,0.997193184,0.226565525,0.012307461,0.224691174
0.0001,4,GrowthYield,TET,0.3,1,0.999336519,0.389206548,0.013002795,0.455662499
0.0001,4,DoublingTime,TET,0.6,2,0.998605254,0.20928804,0.012424616,0.290002611
0.0001,4,GrowthYield,TET,0.6,2,0.999853336,0.510429874,0.01330273,0.918089823
0.0001,4,DoublingTime,TET,1.25,3,0.999414342,0.58210297,0.012672275,0.341015474
0.0001,4,GrowthYield,TET,1.25,3,0.999921219,0.516047411,0.013208654,1.40929798
0.0001,4,DoublingTime,TRIM,0.125,1,0.997127736,0.208036428,0.012407642,0.205367326
0.0001,4,GrowthYield,TRIM,0.125,1,0.999802159,0.399264391,0.011999389,0.774750274
0.0001,4,DoublingTime,TRIM,0.25,2,0.996969535,0.308527093,0.012053746,0.205581052
0.0001,4,GrowthYield,TRIM,0.25,2,0.9999107,0.482943647,0.011603581,0.972603365
0.0001,4,DoublingTime,TRIM,0.5,3,0.997247794,0.21687744,0.012276832,0.220380105
0.0001,4,GrowthYield,TRIM,0.5,3,0.999937366,0.583037264,0.012307911,1.178951183
0.001,1,DoublingTime,NoAntimicrbial,NA,2,0.946982797,0.304622008,0.093097926,0.290668771
0.001,1,GrowthYield,NoAntimicrbial,NA,2,0.982574063,0.306776709,0.106222188,0.679611555
0.001,1,DoublingTime,CAM,0.5,1,0.859043776,0.083833249,0.073300043,0.153608443
0.001,1,GrowthYield,CAM,0.5,1,0.91049814,0.257191533,0.088365975,0.235196971
0.001,1,DoublingTime,CAM,1,2,0.847598758,0.174222003,0.074424043,0.147620985
0.001,1,GrowthYield,CAM,1,2,0.957551404,0.318231133,0.095360946,0.333234425
0.001,1,DoublingTime,CAM,2,3,0.918987677,0.21220024,0.089074473,0.229675924
0.001,1,GrowthYield,CAM,2,3,0.983676408,0.442234097,0.105722322,0.613428824
0.001,1,DoublingTime,CIP,0.002,1,0.826322713,0.231169618,0.070820082,0.126511665
0.001,1,GrowthYield,CIP,0.002,1,0.928718402,0.184011725,0.09093795,0.251955107
0.001,1,DoublingTime,CIP,0.004,2,0.896253295,0.225394572,0.080559272,0.18353231
0.001,1,GrowthYield,CIP,0.004,2,0.977638621,0.318829841,0.106369434,0.564273683
0.001,1,DoublingTime,CIP,0.008,3,0.819665784,0.180208007,0.07148447,0.122717897
0.001,1,GrowthYield,CIP,0.008,3,0.990869483,0.473502147,0.107940637,0.995905139
0.001,1,DoublingTime,CTX,0.5,1,0.881880411,0.253539249,0.075103554,0.152904715
0.001,1,GrowthYield,CTX,0.5,1,0.995304757,0.665436619,0.115046479,1.379784951
0.001,1,DoublingTime,CTX,1,2,0.856036736,0.286661294,0.072901597,0.131636636
0.001,1,GrowthYield,CTX,1,2,0.995591914,0.63428539,0.112888682,1.548147482
0.001,1,DoublingTime,CTX,2,3,0.917981634,0.487260544,0.075099989,0.163026623
0.001,1,GrowthYield,CTX,2,3,0.994833051,0.660884379,0.114995038,1.627921679
0.001,1,DoublingTime,KAN,4,1,0.829069665,0.154882692,0.06450668,0.113582399
0.001,1,GrowthYield,KAN,4,1,0.972960364,0.317848219,0.097913193,0.491346391
0.001,1,DoublingTime,KAN,8,2,0.893052493,0.300429967,0.076090074,0.16356021
0.001,1,GrowthYield,KAN,8,2,0.99386617,0.449621413,0.106208442,0.88780844
0.001,1,DoublingTime,KAN,16,3,0.957844627,0.487249727,0.087829177,0.252228761
0.001,1,GrowthYield,KAN,16,3,0.996966777,0.448111932,0.113115994,1.446743931
0.001,1,DoublingTime,TET,0.3,1,0.903398722,0.276003526,0.078119673,0.17703381
0.001,1,GrowthYield,TET,0.3,1,0.967446114,0.415454467,0.099233656,0.39544545
0.001,1,DoublingTime,TET,0.6,2,0.932516236,0.162099103,0.088836772,0.264528429
0.001,1,GrowthYield,TET,0.6,2,0.992288281,0.427562223,0.112516705,0.927016393
0.001,1,DoublingTime,TET,1.25,3,0.973843035,0.571996452,0.092265828,0.334175005
0.001,1,GrowthYield,TET,1.25,3,0.996071576,0.506081732,0.117406154,1.462306059
0.001,1,DoublingTime,TRIM,0.125,1,0.901420767,0.336408182,0.076286368,0.174780866
0.001,1,GrowthYield,TRIM,0.125,1,0.98905772,0.563284081,0.104452411,0.67910653
0.001,1,DoublingTime,TRIM,0.25,2,0.906757621,0.421120834,0.074657722,0.169709086
0.001,1,GrowthYield,TRIM,0.25,2,0.994536288,0.465522072,0.102622413,0.962671569
0.001,1,DoublingTime,TRIM,0.5,3,0.907365408,0.208106091,0.077016184,0.186009931
0.001,1,GrowthYield,TRIM,0.5,3,0.99606722,0.579617952,0.110318446,1.25570158
0.001,2,DoublingTime,NoAntimicrbial,NA,2,0.948075019,0.350896743,0.090242475,0.302684952
0.001,2,GrowthYield,NoAntimicrbial,NA,2,0.983114872,0.328547528,0.105321398,0.707677295
0.001,2,DoublingTime,CAM,0.5,1,0.85076073,0.050979765,0.075096374,0.155863234
0.001,2,GrowthYield,CAM,0.5,1,0.915083333,0.205962359,0.086912059,0.249251851
0.001,2,DoublingTime,CAM,1,2,0.852533652,0.071483936,0.074030795,0.142705335
0.001,2,GrowthYield,CAM,1,2,0.954169481,0.322740564,0.095310137,0.347028289
0.001,2,DoublingTime,CAM,2,3,0.929017555,0.213100131,0.083669831,0.242522635
0.001,2,GrowthYield,CAM,2,3,0.98238255,0.467960159,0.106593307,0.629850195
0.001,2,DoublingTime,CIP,0.002,1,0.839667483,0.221486304,0.06813151,0.134084676
0.001,2,GrowthYield,CIP,0.002,1,0.938313318,0.280718197,0.085223096,0.247479412
0.001,2,DoublingTime,CIP,0.004,2,0.910001907,0.248989654,0.07726348,0.182929002
0.001,2,GrowthYield,CIP,0.004,2,0.980816431,0.32350523,0.098408826,0.549061432
0.001,2,DoublingTime,CIP,0.008,3,0.830067331,0.155639971,0.069737797,0.129110442
0.001,2,GrowthYield,CIP,0.008,3,0.990967866,0.533270316,0.110338094,0.919954024
0.001,2,DoublingTime,CTX,0.5,1,0.88750668,0.225147495,0.0735062,0.148678659
0.001,2,GrowthYield,CTX,0.5,1,0.994977016,0.622773125,0.113162755,1.417121126
0.001,2,DoublingTime,CTX,1,2,0.875297865,0.289065307,0.06906347,0.126708726
0.001,2,GrowthYield,CTX,1,2,0.995997357,0.617099937,0.10959924,1.507064211
0.001,2,DoublingTime,CTX,2,3,0.922576488,0.491270423,0.074163302,0.150912239
0.001,2,GrowthYield,CTX,2,3,0.995484033,0.619361828,0.114948912,1.731091941
0.001,2,DoublingTime,KAN,4,1,0.822784324,0.173650039,0.065620968,0.111534994
0.001,2,GrowthYield,KAN,4,1,0.97208485,0.36934932,0.10140069,0.460619296
0.001,2,DoublingTime,KAN,8,2,0.88208516,0.398533436,0.078844118,0.174196364
0.001,2,GrowthYield,KAN,8,2,0.993635658,0.60397273,0.108222464,0.845400389
0.001,2,DoublingTime,KAN,16,3,0.955738655,0.557381633,0.088969029,0.270290957
0.001,2,GrowthYield,KAN,16,3,0.99737853,0.524003894,0.112024949,1.452494331
0.001,2,DoublingTime,TET,0.3,1,0.897594225,0.327481063,0.077719506,0.180205804
0.001,2,GrowthYield,TET,0.3,1,0.970021139,0.488845325,0.09626138,0.38177632
0.001,2,DoublingTime,TET,0.6,2,0.93731621,0.252960672,0.085869904,0.259950649
0.001,2,GrowthYield,TET,0.6,2,0.991980423,0.511328316,0.108153839,0.910775179
0.001,2,DoublingTime,TET,1.25,3,0.971078461,0.58136934,0.091645424,0.34877544
0.001,2,GrowthYield,TET,1.25,3,0.99587189,0.540666543,0.115132712,1.379475729
0.001,2,DoublingTime,TRIM,0.125,1,0.900605054,0.297312392,0.07619589,0.185989744
0.001,2,GrowthYield,TRIM,0.125,1,0.988485715,0.491167683,0.106003741,0.744882311
0.001,2,DoublingTime,TRIM,0.25,2,0.901887566,0.38381322,0.076129062,0.171877506
0.001,2,GrowthYield,TRIM,0.25,2,0.993970307,0.443875063,0.107238445,0.970515131
0.001,2,DoublingTime,TRIM,0.5,3,0.89522514,0.24402441,0.078457657,0.192390723
0.001,2,GrowthYield,TRIM,0.5,3,0.996715687,0.55475587,0.106623854,1.267303236
0.001,3,DoublingTime,NoAntimicrbial,NA,2,0.952574216,0.296702506,0.090377552,0.281163333
0.001,3,GrowthYield,NoAntimicrbial,NA,2,0.984431452,0.275482158,0.101392992,0.697763551
0.001,3,DoublingTime,CAM,0.5,1,0.854696028,0.177852654,0.075080843,0.144155669
0.001,3,GrowthYield,CAM,0.5,1,0.92086931,0.222392887,0.084491297,0.245788179
0.001,3,DoublingTime,CAM,1,2,0.864594975,0.158035782,0.07368594,0.140590199
0.001,3,GrowthYield,CAM,1,2,0.961857222,0.334128006,0.090147224,0.349046861
0.001,3,DoublingTime,CAM,2,3,0.929072758,0.188248656,0.085051128,0.232234186
0.001,3,GrowthYield,CAM,2,3,0.986112923,0.444241149,0.100804447,0.629720573
0.001,3,DoublingTime,CIP,0.002,1,0.839174313,0.292849571,0.069048546,0.121998022
0.001,3,GrowthYield,CIP,0.002,1,0.935087538,0.194592694,0.084611105,0.262527092
0.001,3,DoublingTime,CIP,0.004,2,0.90397657,0.197463466,0.079737285,0.183738215
0.001,3,GrowthYield,CIP,0.004,2,0.980906295,0.361731874,0.096668025,0.556012119
0.001,3,DoublingTime,CIP,0.008,3,0.816898894,0.294728986,0.070339829,0.123667732
0.001,3,GrowthYield,CIP,0.008,3,0.993226283,0.428983007,0.103368955,0.935902777
0.001,3,DoublingTime,CTX,0.5,1,0.883083538,0.341576437,0.072103382,0.157457789
0.001,3,GrowthYield,CTX,0.5,1,0.995895802,0.636299473,0.114650293,1.305386903
0.001,3,DoublingTime,CTX,1,2,0.858172829,0.35599033,0.06971646,0.139877504
0.001,3,GrowthYield,CTX,1,2,0.995939772,0.648309879,0.112144678,1.393532724
0.001,3,DoublingTime,CTX,2,3,0.916171541,0.498861534,0.072374143,0.168904956
0.001,3,GrowthYield,CTX,2,3,0.995888378,0.617626475,0.112379808,1.584684544
0.001,3,DoublingTime,KAN,4,1,0.840135535,0.16712674,0.063662763,0.116437768
0.001,3,GrowthYield,KAN,4,1,0.977336608,0.33968296,0.093322683,0.51682576
0.001,3,DoublingTime,KAN,8,2,0.905536147,0.284566085,0.071207837,0.174658428
0.001,3,GrowthYield,KAN,8,2,0.994232907,0.427402676,0.104472496,0.919712363
0.001,3,DoublingTime,KAN,16,3,0.961036047,0.458678298,0.084157847,0.271354509
0.001,3,GrowthYield,KAN,16,3,0.997583394,0.415970427,0.108594423,1.543082171
0.001,3,DoublingTime,TET,0.3,1,0.901633454,0.35136075,0.07610769,0.174368392
0.001,3,GrowthYield,TET,0.3,1,0.967525545,0.470607578,0.095810127,0.392611012
0.001,3,DoublingTime,TET,0.6,2,0.939988134,0.350201192,0.087354781,0.240435126
0.001,3,GrowthYield,TET,0.6,2,0.993035827,0.492394726,0.108332965,0.939956896
0.001,3,DoublingTime,TET,1.25,3,0.972389571,0.646236303,0.09425177,0.317021193
0.001,3,GrowthYield,TET,1.25,3,0.995859341,0.576092224,0.115420598,1.347661866
0.001,3,DoublingTime,TRIM,0.125,1,0.896662039,0.391022618,0.078871526,0.165902035
0.001,3,GrowthYield,TRIM,0.125,1,0.989661985,0.5357105,0.10481467,0.72306347
0.001,3,DoublingTime,TRIM,0.25,2,0.90873494,0.45175394,0.07587288,0.159128088
0.001,3,GrowthYield,TRIM,0.25,2,0.993840792,0.530112278,0.105601553,0.991052485
0.001,3,DoublingTime,TRIM,0.5,3,0.904311844,0.318068881,0.07705187,0.180130273
0.001,3,GrowthYield,TRIM,0.5,3,0.996262833,0.630776428,0.107557718,1.265254484
0.001,4,DoublingTime,NoAntimicrbial,NA,2,0.9512957,0.221258884,0.086800952,0.312535018
0.001,4,GrowthYield,NoAntimicrbial,NA,2,0.981972578,0.333854704,0.110159059,0.707582231
0.001,4,DoublingTime,CAM,0.5,1,0.844197249,0.032945105,0.075644237,0.166924695
0.001,4,GrowthYield,CAM,0.5,1,0.916044614,0.263843111,0.083935266,0.258862677
0.001,4,DoublingTime,CAM,1,2,0.855625733,0.175709637,0.074364923,0.148528943
0.001,4,GrowthYield,CAM,1,2,0.960986964,0.33078534,0.093903384,0.338352628
0.001,4,DoublingTime,CAM,2,3,0.921360147,0.252342625,0.08741459,0.233472271
0.001,4,GrowthYield,CAM,2,3,0.985402656,0.363280154,0.105099518,0.62152642
0.001,4,DoublingTime,CIP,0.002,1,0.836045253,0.217303919,0.069415146,0.127836355
0.001,4,GrowthYield,CIP,0.002,1,0.928406708,0.345855515,0.088433302,0.242083061
0.001,4,DoublingTime,CIP,0.004,2,0.899050116,0.228620865,0.082161158,0.179215603
0.001,4,GrowthYield,CIP,0.004,2,0.979200252,0.396145261,0.09814795,0.568003878
0.001,4,DoublingTime,CIP,0.008,3,0.825332021,0.228050442,0.068585707,0.132307508
0.001,4,GrowthYield,CIP,0.008,3,0.990917747,0.50185695,0.10650376,0.983375598
0.001,4,DoublingTime,CTX,0.5,1,0.883239126,0.302467559,0.074690113,0.148285055
0.001,4,GrowthYield,CTX,0.5,1,0.995073342,0.627892479,0.112155013,1.406190487
0.001,4,DoublingTime,CTX,1,2,0.864612977,0.277791705,0.071028157,0.131731786
0.001,4,GrowthYield,CTX,1,2,0.995872788,0.611489356,0.108017122,1.599446385
0.001,4,DoublingTime,CTX,2,3,0.91534281,0.523569389,0.075250217,0.154552614
0.001,4,GrowthYield,CTX,2,3,0.994671772,0.638203426,0.11432202,1.614845519
0.001,4,DoublingTime,KAN,4,1,0.820049243,0.173683192,0.063670314,0.118805597
0.001,4,GrowthYield,KAN,4,1,0.972115388,0.427972263,0.100535019,0.451873283
0.001,4,DoublingTime,KAN,8,2,0.897405925,0.434434732,0.072989258,0.167948211
0.001,4,GrowthYield,KAN,8,2,0.99344886,0.460554835,0.110295374,0.918653725
0.001,4,DoublingTime,KAN,16,3,0.955915398,0.5401903,0.086678673,0.272484079
0.001,4,GrowthYield,KAN,16,3,0.997258672,0.446636742,0.11381656,1.444016924
0.001,4,DoublingTime,TET,0.3,1,0.900657843,0.300152157,0.076320931,0.177293549
0.001,4,GrowthYield,TET,0.3,1,0.965972045,0.443015148,0.099306589,0.395918492
0.001,4,DoublingTime,TET,0.6,2,0.932397794,0.284645336,0.089840133,0.246079163
0.001,4,GrowthYield,TET,0.6,2,0.99131776,0.513306066,0.113015091,0.863217822
0.001,4,DoublingTime,TET,1.25,3,0.972363887,0.656102704,0.093568908,0.301837755
0.001,4,GrowthYield,TET,1.25,3,0.995817141,0.516729136,0.118851155,1.363048867
0.001,4,DoublingTime,TRIM,0.125,1,0.901237832,0.2428033,0.076858854,0.178047935
0.001,4,GrowthYield,TRIM,0.125,1,0.99057458,0.421771996,0.100896023,0.728205113
0.001,4,DoublingTime,TRIM,0.25,2,0.910692143,0.380488075,0.072309916,0.16948357
0.001,4,GrowthYield,TRIM,0.25,2,0.994824958,0.506714637,0.101441772,0.909561308
0.001,4,DoublingTime,TRIM,0.5,3,0.902328975,0.280601009,0.077574808,0.179729753
0.001,4,GrowthYield,TRIM,0.5,3,0.99661541,0.586739659,0.10652292,1.158585191
0.01,1,DoublingTime,NoAntimicrbial,NA,2,0.466128181,0.450521725,0.245774939,0.259864238
0.01,1,GrowthYield,NoAntimicrbial,NA,2,0.717219057,0.427681807,0.441457789,0.524913956
0.01,1,DoublingTime,CAM,0.5,1,0.187526963,0.02164305,0.136705811,0.135442449
0.01,1,GrowthYield,CAM,0.5,1,0.468195968,0.3000932,0.202445856,0.205629379
0.01,1,DoublingTime,CAM,1,2,NA,NA,0.132245178,0.143776393
0.01,1,GrowthYield,CAM,1,2,0.529599027,0.373629428,0.282118867,0.299107867
0.01,1,DoublingTime,CAM,2,3,0.389077657,0.373829997,0.203883552,0.20284295
0.01,1,GrowthYield,CAM,2,3,0.730574423,0.550432671,0.431401601,0.535004457
0.01,1,DoublingTime,CIP,0.002,1,0.302944806,0.130675891,0.122108749,0.122452533
0.01,1,GrowthYield,CIP,0.002,1,0.316387933,0.066900551,0.231991207,0.219199389
0.01,1,DoublingTime,CIP,0.004,2,0.35622278,0.236819132,0.161769183,0.172728244
0.01,1,GrowthYield,CIP,0.004,2,0.653054328,0.332564441,0.412698878,0.507290925
0.01,1,DoublingTime,CIP,0.008,3,0.183807576,0.083791793,0.123003739,0.116761776
0.01,1,GrowthYield,CIP,0.008,3,0.83366678,0.617279798,0.529272125,0.794109539
0.01,1,DoublingTime,CTX,0.5,1,0.359929114,0.377812504,0.141644886,0.143088615
